item name,item number,price,stock
Sargent 281DEN Door Closer Mounting Plates,SAR_281DEN,79.20,133
Schlage 46929121 Door Position Switch,SCH_46929121,32.25,122
Sargent 10XU94 LB BSP Cylindrical Lock,SAR_10XU94LBBSP,336.38,8
Kwikset 83370-008 Kwik 83370 Us3 Scal Deadbolt 78-0/980 Standard,KWI_83370008,10.81,9
Kwikset 815ANXTNLRH-15 815 An Us15 X Tustin Rh Rcal Rcs Arnlington No Deadbolt,KWI_815ANXTNLRH15,141.46,6
LCN 2610-425 Door Closer Parts,LCN_2610425,8.32,39
Norton 8146689 Door Controls Door Closer Mounting Plates,NOR_8146689,40.50,55
RCI R991RPTD9 Pneumatic Pushbutton,RCI_R991RPTD9,245.70,6
Norton 9388 689 Door Controls Door Closer Mounting Plates,NOR_9388689,29.70,1
LCN 1450-3071 BLACK Door Closer Parts,LCN_14503071BLACK,185.98,6
Alarm Controls TS12 Pushbutton,ALC_TS12,90.72,2
LCN TB 1 3/4 US3 Door Closer Parts,LCN_TB134US3,10.37,25
Baldwin 5399112D New Mechanics Thick Door Kit D for Dummy Handlesets Venetian Bronze Finish,BAL_5399112D,13.58,1
Baldwin 530000095995 Repair Kit Thumb Cartridge Assembly,BAL_530000095995,7.28,12
Sargent 1431W EB Door Closer Mounting Plates,SAR_1431WEB,100.20,1
Schaub 573-SB 573-sbkel,SHB_573SB,42.90,1
LCN 4010-18 US10 Door Closer Mounting Plates,LCN_401018US10,253.26,3
Schlage 46929295 Spindle Hub Kit,SCH_46929295,51.83,20
LCN 4040XP-18G US3 Door Closer Mounting Plates,LCN_4040XP18GUS3,253.26,2
Dormakaba E2031LL626 100 User E-plex No Key Override,DMA_E2031LL626,460.20,11
Sargent 10XU93 LP 26D Cylindrical Lock,SAR_10XU93LP26D,167.90,36
Sargent 10XU93 LL 26D Cylindrical Lock,SAR_10XU93LL26D,167.90,68
Schlage 621GID EX Pushbutton,SCH_621GIDEX,145.92,5
LCN 4040XPT3054 Door Closer Parts,LCN_4040XPT3054,29.48,145
Schlage 621RD L2/ILL Pushbutton,SCH_621RDL2ILL,204.64,4
Sargent 730-6 Exit Device Part,SAR_7306,44.10,12
Baldwin 8BR0702003 Double Cylinder Handleset Thick Door Kit Venetian Bronze Finish,BAL_8BR0702003,11.12,2
"Baldwin 8098000DC03 Double Cylinder Conversion Kit for 2"" - 2-1/4"" Door",BAL_8098000DC03,4.32,16
Kwikset 81780-004 22038 Thk Dr Lpp 15r Handleset,KWI_81780004,6.37,10
Schlage 09-998 Service Kit - Back Housing Rim Cylinder,SCH_09998,18.42,35
Sargent 10XU93 LB 10BE Cylindrical Lock,SAR_10XU93LB10BE,167.90,8
Securitron SWK Power Supply,STR_SWK,125.36,15176151
Schlage 621RD Pushbutton,SCH_621RD,145.92,25
Kwikset 83669-001 46209 Hs Mech Thk Kitspindle,KWI_83669001,20.02,76
Norton 8146689 Door Controls Door Closer Mounting Plates,NOR_8146689,40.50,55
Securitron SPK Power Supply,STR_SPK,613.76,15176151
Securitron PMK3 Access Control,STR_PMK3,95.22,15176151
Kwikset 815ANXTNLRH-15 815 An Us15 X Tustin Rh Rcal Rcs Arnlington No Deadbolt,KWI_815ANXTNLRH15,141.46,6
Schaub 573-SB 573-sbkel,SHB_573SB,42.90,1
LCN TB 1 3/4 US3 Door Closer Parts,LCN_TB134US3,10.37,25
Schlage 621GR NS SF-626 Pushbutton,SCH_621GRNSSF626,196.08,1
RCI R991RPTD9 Pneumatic Pushbutton,RCI_R991RPTD9,245.70,6
Sargent 10XG15-3 LB 26D Cylindrical Lock,SAR_10XG153LB26D,462.15,8
Sargent 60-10XG70 LB 26D Electrified Cylindrical Lock,SAR_6010XG70LB26D,826.61,5
Schlage 625GR EX Pushbutton,SCH_625GREX,145.92,3
Sargent 10-3188 Lock Parts,SAR_103188,36.84,36
Schlage MGK 605 Card Reader,SCH_MGK605,642.60,3
Von Duprin 970323 VON Exit Device,VON_970323,12.31,16
Von Duprin 970321 VON Exit Device,VON_970321,12.31,40
Von Duprin 114141 VON Exit Device,VON_114141,189.22,15
Von Duprin 090004 VON Exit Device,VON_090004,20.09,14
Securitron FSUNL24 Electric Strike,STR_FSUNL24,92.34,10
Von Duprin 090003 VON Exit Device,VON_090003,12.96,9
Kwikset 966LSLSQT-11P.UNIV 966lslsqt-11p.univsquare,KWI_966LSLSQT11PUNIV,46.33,12
Schlage 621RD L2/ILL Pushbutton,SCH_621RDL2ILL,204.64,4
Schlage 653-04 WP Keyswitch,SCH_65304WP,264.48,16777778
"Alarm Lock NETHIDNSPAK Trilogy Networx HID Narrow Stile Proximity Point Reader, Control Panel with Door Position Switch with RX, Remote Release, and Battery Backup and Plug in Transformer.",ALL_NETHIDNSPAK,555.78,1
Securitron SWK Power Supply,STR_SWK,125.36,15176151
Kwikset 258RDT-514S.STRKP 258 Rdt 514 Smt 6al Rcs/5303 K3wn Deadbolt Ka3,KWI_258RDT514SSTRKP,52.34,91
Kwikset 83669-001 46209 Hs Mech Thk Kitspindle,KWI_83669001,20.02,76
"Trine 4300CC-32D Electric Strike, 12-24vac/dc, Cylindrical and Deadlatch, Includes 4 Faceplates 4-7/8in X 1-1/4in In Both Satin Stainless and Dark Bronze",TRI_4300CC32D,148.20,25
Schlage 621RD Pushbutton,SCH_621RD,145.92,25
Baldwin 85320033ENTR 85320033entr,BAL_85320033ENTR,358.15,4
Schlage MGK 605 Card Reader,SCH_MGK605,642.60,3
Altronix BC300 Power Supply,ALT_BC300,81.71,4
Sargent 10XG15-3 LL 26D Cylindrical Lock,SAR_10XG153LL26D,462.15,16
